experiment	chunks	total_samples	exact_match
eval_base_1024_6256076	4	79441	0.65140167
eval_base_1536_6256095	4	79441	0.68903966
eval_check_5928345	1	10	1.00000000
eval_large_1024_6256148	4	79441	0.78555154
eval_large_1536_6256167	4	79441	0.80599439
eval_samll_512_6256049	4	79441	0.15921250
eval_small_1024_6256060	4	79441	0.29931647
eval_small_1536_6256064	4	79441	0.36697675
eval_xl_1024_3ep_6256222	4	79441	0.83799298
eval_xl_1024_5941346	4	79441	0.83830767
eval_xl_1536_10ep_6256324	4	79441	0.88221447
eval_xl_1536_3ep_6256299	4	79441	0.85155021
eval_xl_1536_6040351	4	79441	0.84908297
